,S15_NK_CD56dim,S15_NK_CD56bright,S16_NK_CD56dim,S16_NK_CD56bright,S17_NK_CD56dim,S17_NK_CD56bright,S15_Th1,S15_Th2,S15_Th17,S16_Th1,S16_Th2,S16_Th17,S17_Th1,S17_Th2,S17_Th17
TSPAN6,0,0,3,0,0,0,49,126,0,147,132,131,76,69,38
TNMD,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
DPM1,2136,2191,1471,1651,2272,2134,2626,2938,985,4325,3321,3693,5103,3090,4247
SCYL3,596,693,441,650,312,851,1039,747,65,808,451,754,535,445,557
C1orf112,286,140,226,324,155,242,184,167,0,428,234,195,211,111,237
FGR,32881,15878,21221,11116,16544,14082,169,0,1,106,0,0,459,347,42
CFH,47,37,137,0,27,118,217,1691,124,121,985,691,36,495,625
FUCA2,982,1120,640,1030,596,881,366,705,0,647,860,908,241,377,452
GCLC,1405,971,830,639,1606,1034,1258,1064,841,926,557,1197,1252,808,1042
NFYA,1025,984,953,683,739,947,1500,838,397,1853,1314,1585,989,815,964
STPG1,78,22,91,41,125,40,178,464,716,255,252,339,194,226,157
NIPAL3,1995,1153,1400,1406,1194,1394,4203,4679,1675,3715,3786,5142,4530,3587,3896
LAS1L,1882,1958,1739,1913,1279,1857,2335,3232,1412,2662,2009,3700,3431,2820,2614
ENPP4,1519,467,2840,597,1566,185,436,393,842,408,169,367,298,149,288
SEMA3F,0,1,1,0,0,0,2,1,0,3,0,0,0,0,0
CFTR,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0
ANKIB1,704,570,753,466,591,553,826,702,252,371,318,941,738,249,687
CYP51A1,108,60,118,64,68,83,96,93,2,32,68,75,70,65,48
KRIT1,711,453,592,560,484,850,1032,538,2794,577,417,542,638,933,710
RAD52,152,117,201,165,149,275,354,303,0,240,201,99,396,103,232
MYH16,0,0,0,0,0,0,2,0,2,4,0,10,1,2,1
BAD,711,601,376,529,343,540,533,866,1323,989,993,939,732,667,1043
LAP3,2879,2265,1925,1939,2651,2558,2315,3132,3173,2396,2262,3569,3845,2915,3285
CD99,16869,6216,16355,6406,16502,7849,13240,19176,17962,20118,24599,25964,18593,22265,24944
HS3ST1,0,0,1,2,12,0,1,0,1,0,0,0,3,1,0
AOC1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
WNT16,0,0,0,0,0,4,5,0,0,0,4,0,0,24,5
HECW1,0,0,0,0,0,0,1,0,0,0,0,3,2,0,100
MAD1L1,3202,1390,2167,1241,1046,946,4107,2490,2870,5178,3442,5826,4030,2515,5255
LASP1,7124,3197,6535,3853,4616,4863,2444,2659,57,2229,2264,3898,1833,1896,3001
SNX11,1639,1009,1436,954,1661,1386,846,697,5,977,628,950,951,487,991
TMEM176A,13,7,2,2,7,0,0,32,77,21,0,2,62,0,0
M6PR,6218,3119,3426,2509,3524,2653,4378,6940,4302,4372,5291,7245,4465,3697,4593
KLHL13,0,40,0,70,0,109,0,0,0,11,0,22,0,0,0
CYP26B1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0
ICA1,78,148,62,106,17,58,176,88,384,107,40,206,178,56,327
DBNDD1,0,0,1,0,0,0,93,25,0,140,39,137,747,674,598
ALS2,434,370,713,383,642,587,260,509,790,422,92,360,258,248,379
CASP10,1558,869,1197,583,883,791,437,851,234,430,610,213,719,399,400
CFLAR,8684,6527,7513,8017,6962,8037,6559,5935,4574,6519,4811,8471,8949,5174,7414
TFPI,0,0,3,0,0,8,2,0,0,0,1,0,0,0,0
NDUFAF7,578,476,401,567,528,705,520,1194,291,762,717,709,1047,728,579
RBM5,3522,3013,2676,2862,2519,3630,3315,3785,1027,4241,2846,3919,6149,3134,3639
MTMR7,29,16,42,51,46,18,15,46,0,4,79,26,103,6,19
SLC7A2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
ARF5,4246,3145,3047,2974,3062,3042,3666,5096,2755,5599,5477,5949,4807,4878,5891
SARM1,288,103,231,198,221,219,433,292,19,374,298,380,352,365,302
POLDIP2,3669,3037,3191,3184,2766,3138,3620,4697,2738,6249,4454,7206,5771,4288,5268
PLXND1,4605,2894,801,2340,1532,4790,378,908,1729,322,512,1009,870,700,1051
AK2,3908,3679,3747,3537,3098,3642,3718,3607,2787,4036,3955,5248,4910,2606,3817
CD38,7285,2481,6121,1409,4211,3215,273,0,0,832,2,48,399,195,161
FKBP4,1335,711,833,550,664,450,1163,1719,1527,1070,1103,1719,1194,1013,1212
KDM1A,2384,2017,1720,2657,1996,2891,3296,2859,2528,3018,3025,4026,4495,2738,3243
RBM6,5025,2663,3114,3227,2571,3534,5266,3600,2368,3607,2765,4193,4579,3391,2949
CAMKK1,106,53,16,38,202,22,292,277,1,124,66,143,103,203,265
RECQL,2184,890,2105,1037,1132,1103,2066,1772,217,1383,953,2568,1590,931,1137
VPS50,578,593,540,460,451,581,983,777,9,596,464,976,806,437,800
HSPB6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ARHGAP33,98,34,89,29,67,94,121,124,470,46,58,117,166,148,106
NDUFAB1,2240,2054,1445,1413,1859,2124,2355,2969,4743,3106,3512,3274,4130,3120,4336
PDK4,3,256,0,163,851,66,9,0,0,0,0,0,0,0,0
SLC22A16,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
ZMYND10,134,128,102,202,115,169,9,32,1,35,45,5,0,16,15
ABCB5,0,0,0,6,1,41,0,0,0,0,0,2,0,33,0
ARX,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
SLC25A13,560,563,393,594,488,845,543,774,201,591,746,863,530,846,771
ST7,748,154,639,363,381,296,227,547,1,362,352,509,339,372,370
CDC27,1466,1303,1341,1115,1690,1731,2462,2728,871,1852,1443,2108,3981,1600,2115
SLC4A1,0,0,0,0,0,1,3,0,0,1,2,0,0,0,0
CALCR,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HCCS,580,313,427,384,509,366,697,835,0,848,702,870,1166,793,744
DVL2,1524,937,1538,1093,1139,1729,1850,1987,1425,2037,1796,2288,1840,1679,1836
PRSS22,16,12,23,24,7,4,12,0,2,9,34,4,5,21,2
UPF1,2829,1199,2862,2386,2262,3701,2976,3381,448,3171,2659,4013,5013,3305,3915
SKAP2,2236,2800,2986,2980,2827,3219,304,289,1296,448,583,1253,958,556,656
SLC25A5,8987,6581,4577,5246,6302,5809,7597,9276,11133,10549,8700,10949,9966,6964,9983
CCDC109B,2217,6616,1171,5180,2223,6163,15909,9866,8772,22859,11772,17033,22533,11514,17464
HOXA11,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
POLR2J,1891,1221,1287,1052,1244,1208,1798,2306,2957,2661,2546,2709,2481,2171,2946
DHX33,155,115,132,121,71,56,138,238,556,134,112,222,267,160,283
MEOX1,3,0,0,0,0,0,345,37,0,306,67,533,337,126,376
THSD7A,0,0,0,0,0,3,3,1,10,2,0,0,3,0,2
LIG3,908,593,1085,1119,856,857,642,1116,675,847,1006,1028,1147,964,668
RPAP3,1246,1041,916,1198,1068,1141,950,1005,627,1767,1205,2037,1544,895,1454
ACSM3,86,129,90,192,8,80,149,253,894,174,135,243,132,155,77
AC004381.6,156,155,23,52,16,260,7,79,1,94,0,9,10,26,51
CIAPIN1,2659,1691,1808,1190,1716,1757,1488,1800,687,2888,1872,2416,2917,2335,2489
SPPL2B,520,457,443,667,389,849,706,856,1719,859,601,916,750,781,703
FAM214B,908,529,589,295,853,535,184,529,0,163,84,362,83,172,191
COPZ2,742,18,547,50,982,89,97,59,0,50,31,41,164,151,169
PRKAR2B,71,423,3,352,76,581,153,58,2,6,60,129,33,24,52
MSL3,1679,914,1241,792,1242,1036,4066,2682,874,3229,2240,3035,4831,3911,2803
CREBBP,3967,2624,3967,3127,4136,5148,5056,5284,7252,3747,2281,4089,6790,4813,5500
BZRAP1,7295,1475,6780,3413,4257,2938,164,363,255,662,439,348,973,347,511
MPO,1,0,0,0,25,0,2,0,0,0,0,0,0,0,0
PON1,0,10,1,8,0,5,3,0,0,0,0,0,0,0,0
